"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","SM-M317F"
"deviceBrand","samsung"
"deviceBoard","exynos9611"
"deviceManufacturer","samsung"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","11"
"accelerometer Name","ICM42605M Accelerometer"
"accelerometer Vendor","TDK Invensense"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023942017"
"accelerometer MinDelay","2000"
"accelerometer MaxDelay","160000"
"accelerometer Power","0.26"
"accelerometer Version","15932"
"linear_acceleration Name","Samsung Linear Acceleration Sensor"
"linear_acceleration Vendor","Samsung Electronics"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.0023942017"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","0"
"linear_acceleration Power","2.21"
"linear_acceleration Version","1"
"gyroscope Name","ICM42605M Gyroscope"
"gyroscope Vendor","TDK Invensense"
"gyroscope Range","17.453293"
"gyroscope Resolution","5.326322E-4"
"gyroscope MinDelay","2000"
"gyroscope MaxDelay","160000"
"gyroscope Power","0.65"
"gyroscope Version","1"
"magnetic_field Name","MMC5633 Magnetometer"
"magnetic_field Vendor","Memsic"
"magnetic_field Range","1600.0"
"magnetic_field Resolution","0.09765625"
"magnetic_field MinDelay","8000"
"magnetic_field MaxDelay","160000"
"magnetic_field Power","1.3"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","STK31610 Light"
"light Vendor","Sitronix"
"light Range","60000.0"
"light Resolution","1.0"
"light MinDelay","200000"
"light MaxDelay","200000"
"light Power","0.75"
"light Version","1000"
"proximity Name","Ear Hover Proximity Sensor (ProToS)"
"proximity Vendor","Samsung Electronics."
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.75"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Samsung Rotation Vector Sensor"
"attitude Vendor","Samsung Electronics"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","0"
"attitude Power","2.21"
"attitude Version","3"
